"path","api_class","with_http_info","request_model","response_model","note","implemented","request_strong","response_strong"
"/v1/feslive/set_prize","IFesliveApi","FesliveSetPrizeWithHttpInfo","FesliveSetPrizeRequest","json::Value","","","",""
"/v1/friend/get_list","IFriendApi","FriendGetListWithHttpInfo","FriendGetListRequest","FriendGetListResponse","","","",""
"/v1/friend/get_request_list","IFriendApi","FriendGetRequestListWithHttpInfo","","FriendGetRequestListResponse","","","",""
"/v1/friend/search_name","IFriendApi","FriendSearchNameWithHttpInfo","FriendSearchNameRequest","FriendSearchNameResponse","","","",""
"/v1/friend/search_player_id","IFriendApi","FriendSearchPlayersIdWithHttpInfo","FriendSearchPlayerIdRequest","FriendSearchPlayerIdResponse","","","",""
"/v1/friend/search_recommend","IFriendApi","FriendSearchRecommendWithHttpInfo","","FriendSearchRecommendResponse","","","",""
"/v1/friend/set_approval_request","IFriendApi","FriendSetApprovalRequestWithHttpInfo","FriendSetApprovalRequestRequest","FriendSetCommonResponse","","","",""
"/v1/friend/set_approval_request_all","IFriendApi","FriendSetApprovalRequestAllWithHttpInfo","FriendSetApprovalRequestAllRequest","FriendSetCommonResponse","","","",""
"/v1/friend/set_break_off","IFriendApi","FriendSetBreakOffWithHttpInfo","FriendSetBreakOffRequest","FriendSetCommonResponse","","","",""
"/v1/friend/set_refuse_request_all","IFriendApi","FriendSetRefuseRequestAllWithHttpInfo","FriendSetRefuseRequestAllRequest","FriendSetCommonResponse","","","",""
"/v1/friend/set_request","IFriendApi","FriendSetRequestWithHttpInfo","FriendSetRequestRequest","FriendSetCommonResponse","","","",""
"/v1/friend/set_request_cancel","IFriendApi","FriendSetRequestCancelWithHttpInfo","FriendSetRequestCancelRequest","FriendSetCommonResponse","","","",""
"/v1/friend/update_request_view_history","IFriendApi","FriendUpdateRequestViewHistoryWithHttpInfo","","json::Value","","","",""
"/v1/gacha/confirm_ticket_expired_time","IGachaApi","GachaConfirmTicketExpiredTimeWithHttpInfo","GachaConfirmTicketExpiredTimeRequest","json::Value","","","",""
"/v1/gacha/get_exchange_card_having_list","IGachaApi","GachaGetExchangeCardHavingListWithHttpInfo","GachaGetExchangeCardHavingListRequest","GachaGetExchangeCardHavingListResponse","","","",""
"/v1/gacha/get_exchange_card_list","IGachaWebApi","GachaGetExchangeCardListWithHttpInfo","GachaGetExchangeCardListRequest","GachaGetExchangeCardListResponse","","","",""
"/v1/gacha/get_guarantee_point_list","IGachaApi","GachaGetGuaranteePointListWithHttpInfo","GachaGetGuaranteePointListRequest","GachaGetGuaranteePointListResponse","","","",""
"/v1/gacha/get_history","IGachaApi","GachaGetHistoryWithHttpInfo","","GachaGetHistoryResponse","","","",""
"/v1/gacha/get_lottery_chance","IGachaWebApi","GachaGetLotteryChanceWithHttpInfo","GachaGetLotteryChanceRequest","GachaGetLotteryChanceResponse","","","",""
"/v1/gacha/get_series_list","IGachaApi","GachaGetSeriesListWithHttpInfo","","GachaGetSeriesListResponse","","","",""
"/v1/gacha/set_guarantee_point_exchange","IGachaApi","GachaSetGuaranteePointExchangeWithHttpInfo","GachaSetGuaranteePointExchangeRequest","GachaSetGuaranteePointExchangeResponse","","","",""
"/v1/gacha/set_prize_receive","IGachaApi","GachaSetPrizeReceiveWithHttpInfo","GachaSetPrizeReceiveRequest","GachaSetPrizeReceiveResponse","","","",""
"/v1/gacha/set_purchase","IGachaApi","GachaSetPurchaseWithHttpInfo","GachaSetPurchaseRequest","GachaSetPurchaseResponse","","","",""
"/v1/gacha/set_select_ticket_exchange","IGachaApi","GachaSetSelectTicketExchangeWithHttpInfo","GachaSetSelectTicketExchangeRequest","GachaSetSelectTicketExchangeResponse","","","",""
"/v1/gift_shop/set_purchase","IGiftShopApi","GiftShopSetPurchaseWithHttpInfo","GiftShopSetPurchaseRequest","GiftShopSetPurchaseResponse","","","",""
"/v1/gp_prize_exchange/get_list","IGpPrizeExchangeApi","GpPrizeExchangeGetListWithHttpInfo","","GpPrizeExchangeGetListResponse","","","",""
"/v1/gp_prize_exchange/set_purchase","IGpPrizeExchangeApi","GpPrizeExchangeSetPurchaseWithHttpInfo","GpPrizeExchangeSetPurchaseRequest","GpPrizeExchangeSetPurchaseResponse","","","",""
"/v1/home/get_custom_setting","IHomeApi","HomeGetCustomSettingWithHttpInfo","","HomeGetCustomSettingResponse","","","",""
"/v1/home/get_home","IHomeApi","HomeGetHomeWithHttpInfo","","HomeGetHomeResponse","","","",""
"/v1/home/get_login_bonus","IHomeApi","HomeGetLoginBonusWithHttpInfo","","HomeGetLoginBonusResponse","","","",""
"/v1/home/get_wallpaper_setting","IHomeApi","HomeGetWallpaperSettingWithHttpInfo","","HomeGetWallpaperSettingResponse","","","",""
"/v1/home/notify_wallpaper_setting","IHomeApi","HomeNotifyWallpaperSettingWithHttpInfo","NotifyWallpaperSettingRequst","json::Value","","","",""
"/v1/home/set_clock_setting","IHomeApi","HomeSetClockSettingWithHttpInfo","HomeSetClockSettingRequst","HomeSetClockSettingResponse","","","",""
"/v1/home/set_current_wallpaper_setting","IHomeApi","HomeSetCurrentWallpaperSettingWithHttpInfo","HomeSetCurrentWallpaperSettingRequst","HomeSetCurrentWallpaperSettingResponse","","","",""
"/v1/home/set_show_retire","IHomeApi","HomeSetShowRetireWithHttpInfo","","HomeSetShowRetireResponse","","","",""
"/v1/home/set_wallpaper_setting","IHomeApi","HomeSetWallpaperSettingWithHttpInfo","HomeSetWallpaperSettingRequst","HomeSetWallpaperSettingResponse","","","",""
"/v1/in_quest_live/get_live_info","IInQuestLiveApi","InQuestLiveGetLiveInfoWithHttpInfo","GetLiveInfoRequest","GetLiveInfoResponse","","","",""
"/v1/in_quest_live/set_finish","IInQuestLiveApi","InQuestLiveSetFinishWithHttpInfo","SetFinishRequest","SetFinishResponse","","","",""
"/v1/in_quest_live/set_retire","IInQuestLiveApi","InQuestLiveSetRetireWithHttpInfo","SetRetireRequest","SetRetireResponse","","","",""
"/v1/in_quest_live/set_start","IInQuestLiveApi","InQuestLiveSetStartWithHttpInfo","SetStartRequest","SetStartResponse","","","",""
"/v1/in_quest_live/skip_quest","IInQuestLiveApi","InQuestLiveSkipQuestWithHttpInfo","SkipQuestRequest","SkipQuestResponse","","","",""
"/v1/item_exchange/get_limit_break_material_convert_list","IItemExchangeApi","ItemExchangeGetLimitBreakMaterialConvertListWithHttpInfo","","ItemExchangeGetLimitBreakMaterialConvertListResponse","","","",""
"/v1/item_exchange/get_list","IItemExchangeApi","ItemExchangeGetListWithHttpInfo","","ItemExchangeGetListResponse","","","",""
"/v1/item_exchange/get_list_new","IItemExchangeApi","ItemExchangeGetListNewWithHttpInfo","ItemExchangeGetListRequest","ItemExchangeGetListResponse","","","",""
"/v1/item_exchange/set_limit_break_material_convert","IItemExchangeApi","ItemExchangeSetLimitBreakMaterialConvertWithHttpInfo","","ItemExchangeSetLimitBreakMaterialConvertResponse","","","",""
"/v1/item_exchange/set_purchase","IItemExchangeApi","ItemExchangeSetPurchaseWithHttpInfo","ItemExchangeSetPurchaseRequest","ItemExchangeSetPurchaseResponse","","","",""
"/v1/item_store/get_list","IItemStoreApi","ItemStoreGetListWithHttpInfo","","ItemStoreGetListResponse","","","",""
"/v1/jewel_shop/get_birthday","IJewelShopApi","JewelShopGetBirthdayWithHttpInfo","","JewelShopGetBirthdayResponse","","","",""
"/v1/jewel_shop/get_list","IJewelShopApi","JewelShopGetListWithHttpInfo","","JewelShopGetListResponse","","","",""
"/v1/jewel_shop/get_membership_list","IJewelShopApi","JewelShopGetMembershipListWithHttpInfo","","JewelShopGetMembershipListResponse","","","",""
"/v1/jewel_shop/set_birthday","IJewelShopApi","JewelShopSetBirthdayWithHttpInfo","JewelShopSetBirthdayRequest","JewelShopSetBirthdayResponse","","","",""
"/v1/jewel_shop/set_membership_purchase","IJewelShopApi","JewelShopSetMembershipPurchaseWithHttpInfo","JewelShopSetPurchaseRequest","JewelShopSetPurchaseResponse","","","",""
"/v1/jewel_shop/set_purchase","IJewelShopApi","JewelShopSetPurchaseWithHttpInfo","JewelShopSetPurchaseRequest","JewelShopSetPurchaseResponse","","","",""
"/v1/mission/get_list","IMissionApi","MissionGetListWithHttpInfo","","MissionGetListResponse","","","",""
"/v1/mission/receive_common_mission_reward","IMissionApi","MissionReceiveCommonMissionRewardWithHttpInfo","","ReceiveCommonMissionRewardResponse","","","",""
"/v1/out_quest_live/daily/get_recovery_challenge_count","IOutQuestLiveDailyApi","OutQuestLiveDailyGetRecoveryChallengeCountWithHttpInfo","","DailyGetRecoveryChallengeCountResponse","","","",""
